,signals,avgFilter,stdFilter
11769,0.0,0.18202629540635934,0.10156019989158653
11770,0.0,0.17799962873969263,0.09993804709208828
11771,0.0,0.17848851762858156,0.0997279102795518
11772,0.0,0.17968851762858154,0.0991838880384195
11773,0.0,0.1774718509619149,0.09984833897863969
11774,0.0,0.1761379365079365,0.0982248353851761
11775,0.0,0.17510460317460316,0.09900152647367061
11776,0.0,0.17665460317460316,0.09877221509248255
11777,0.0,0.2016679365079365,0.15506612787780694
11778,0.0,0.20172349206349205,0.1550486209599338
11779,0.0,0.1985318253968254,0.15521326779565184
11780,0.0,0.19523182539682543,0.15534889297134946
11781,0.0,0.19476515873015873,0.15552602292440657
11782,0.0,0.1896318253968254,0.15586227357895674
11783,0.0,0.1915818253968254,0.15530005378670653
11784,0.0,0.20033182539682537,0.1551192678609253
11785,0.0,0.19886515873015875,0.15564406886149695
11786,0.0,0.20069849206349205,0.15506249109732298
11787,0.0,0.1853429365079365,0.13353325736518246
11788,0.0,0.18172960317460313,0.13346115889130056
11789,0.0,0.1779129365079365,0.1359985598908949
11790,0.0,0.1733018253968254,0.136171618535265
11791,0.0,0.17241293650793652,0.13632509022045158
11792,0.0,0.17411293650793655,0.136068424843853
11793,0.0,0.17084626984126985,0.13817627502660512
11794,0.0,0.1879796031746032,0.16209421033015356
11795,0.0,0.18674071428571434,0.16230382588631603
11796,0.0,0.18724904761904765,0.16212718007282845
11797,0.0,0.18348555555555554,0.16345069353564684
11798,0.0,0.19076391445397836,0.16438539340989294
11799,0.0,0.19072502556508947,0.16438625952797906
11800,0.0,0.1880850255650895,0.16548756103279713
11801,0.0,0.1885961366762006,0.1653701333472585
11802,0.0,0.18742280334286723,0.16575006654472
11803,0.0,0.18838391445397837,0.16541348569925626
11804,0.0,0.19138947000953394,0.1678042718558113
11805,0.0,0.19340613667620057,0.16688662073268823
11806,0.0,0.1922672477873117,0.1670600052344032
11807,0.0,0.1677450255650895,0.11441044542565826
11808,0.0,0.1728361366762006,0.11703872864011418
11809,0.0,0.17339447000953392,0.11694093878091373
11810,0.0,0.17237780334286726,0.11735001764324403
11811,0.0,0.17353335889842283,0.11708757264631321
11812,0.0,0.1792250255650895,0.11776594844563879
11813,0.0,0.17868335889842285,0.11782149381536994
11814,0.0,0.17517383508889903,0.11497437081746543
11815,0.0,0.17542939064445465,0.11486436417599241
11816,0.0,0.18256272397778794,0.12126889573691053
11817,0.0,0.18176272397778795,0.12146112724495085
11818,1.0,0.1814460573111213,0.12160275440557378
11819,0.0,0.22183939064445457,0.22385662305280005
11820,0.0,0.23030327953334345,0.22394055676483618
11821,0.0,0.23211161286667675,0.22339011045788962
11822,0.0,0.23067161286667676,0.22387170722412456
11823,0.0,0.2353049462000101,0.22119648107154682
11824,0.0,0.21900494620001013,0.20795248131377395
11825,0.0,0.21887161286667683,0.2080035155236777
11826,0.0,0.21994661286667677,0.20766713540554627
11827,0.0,0.22196605731112126,0.20650670550966366
11828,0.0,0.21443769841269844,0.2070083288388375
11829,0.0,0.21452103174603174,0.2069975683781536
11830,0.0,0.21532936507936506,0.20652138628650832
11831,0.0,0.2502626984126984,0.27209459184086165
11832,0.0,0.2506360317460318,0.2719188421504705
11833,0.0,0.24707492063492065,0.27397943721271184
11834,0.0,0.23817158730158727,0.27426114153799175
11835,0.0,0.24243825396825394,0.2737970752856412
11836,0.0,0.24800550175556568,0.2735655859087451
11837,0.0,0.24798772397778787,0.2735742892657086
11838,0.0,0.24649105731112123,0.27337337956825036
11839,0.0,0.24725772397778786,0.27316471939883674
11840,0.0,0.24822994620001013,0.27272780825037596
11841,0.0,0.24744105731112126,0.2730053616341791
11842,0.0,0.24401605731112128,0.27327312225791633
11843,0.0,0.24309105731112127,0.2736069346336376
11844,0.0,0.24251724778731173,0.27367549833833943
11845,0.0,0.24260835889842283,0.27363836580945666
11846,0.0,0.23435280334286726,0.2727412784782783
11847,0.0,0.23344169223175618,0.2730970305934702
11848,0.0,0.23235835889842285,0.2735989702241131
11849,0.0,0.20144338446351231,0.1999337772606992
11850,0.0,0.19520171779684564,0.19794769440352825
11851,0.0,0.1925267177968457,0.1985378919372464
11852,0.0,0.19444338446351234,0.1982506246452204
11853,0.0,0.192660051130179,0.19866668811276705
11854,0.0,0.19986005113017902,0.2011425072664177
11855,0.0,0.19953227335240126,0.20125211471316223
11856,0.0,0.19731560668573458,0.20192478338217343
11857,0.0,0.19649060668573456,0.2022392506907824
11858,0.0,0.19890727335240124,0.20140165832620058
11859,0.0,0.19724060668573457,0.2016834345617091
11860,0.0,0.20431063225082408,0.2020520439832626
11861,0.0,0.17831063225082405,0.09133006818598748
11862,0.0,0.1772439655841574,0.09209509356754264
11863,0.0,0.18684396558415742,0.09203837308426639
11864,0.0,0.1865544417746336,0.09232306423371847
11865,0.0,0.18061555288574468,0.09220516269798702
11866,0.0,0.17250386065398848,0.0905078507957895
11867,0.0,0.1721438606539885,0.09076175535622791
11868,0.0,0.16776052732065516,0.08950718110464258
11869,0.0,0.16604052732065516,0.08967421749467536
11870,0.0,0.1668849717650996,0.0895410647091018
11871,0.0,0.16815997176509964,0.0894214108378891
11872,0.0,0.1665066384317663,0.08977447398025067
11873,0.0,0.17271833066352246,0.09347359011649056
11874,0.0,0.16976833066352245,0.09391417731195044
11875,0.0,0.17062166399685583,0.09368678973795405
11876,0.0,0.17049388621907807,0.09372516304603196
11877,0.0,0.1718633306635225,0.0931834143627121
11878,0.0,0.17361888621907806,0.09211457401713509
11879,0.0,0.16836552732065524,0.08817754843969004
11880,0.0,0.16786076541589334,0.0882215269092617
11881,0.0,0.1682829876381155,0.08797356128313803
11882,0.0,0.1669079876381155,0.08790664835973933
11883,0.0,0.16728020986033773,0.08773282503924391
11884,0.0,0.1593968765270044,0.07909358141079968
11885,0.0,0.15862465430478215,0.07951321312705442
11886,0.0,0.17092465430478215,0.09677806862037874
11887,0.0,0.17320798763811548,0.09606013758815077
11888,0.0,0.1727302098603377,0.09614035913049604
11889,0.0,0.1721802098603377,0.09637865108304393
11890,0.0,0.16572685096191492,0.09285956258172376
11891,0.0,0.15854351762858154,0.07987520794283294
11892,0.0,0.16054351762858152,0.07903084697380179
11893,0.0,0.15276018429524818,0.07372164033287841
11894,0.0,0.1540030414381053,0.07299269630334461
11895,0.0,0.15502526366032757,0.07239015408991273
