datetime,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ts,stime,hours,url6,url7,url8
2015-06-16 09:02:00,256.1666666666667,256.1666666666667,49520.83333333334,16.95966660976409,0.1405,9.0,,,
2015-06-16 09:03:00,460.0,460.0,49726.0,40.4289999008179,0.127,9.0,,,
2015-06-16 09:04:00,1408.0,1408.0,50674.0,137.117000102997,0.17800000000000002,9.0,,,
2015-06-16 09:05:00,1935.0,1935.0,51201.0,190.394000053406,0.401,9.0,,,
2015-06-16 09:06:00,2410.0,2410.0,51676.0,258.285000085831,0.134,9.0,,,
2015-06-16 09:07:00,3043.0,3043.0,52309.0,308.96549999713903,0.1985,9.0,,,
2015-06-16 09:08:00,3384.0,3384.0,52650.0,359.407999992371,0.16699999999999998,9.0,,,
2015-06-16 09:09:00,,,,,0.6045986312132935,,,,
2015-06-16 09:10:00,4759.0,4759.0,54025.0,502.086999893188,0.067,9.0,,,
2015-06-16 09:11:00,5321.0,5321.0,54587.0,539.111999988556,0.145,9.0,,,
2015-06-16 09:12:00,6120.0,6120.0,55386.0,610.768000125885,0.139,9.0,,,
2015-06-16 09:13:00,6662.0,6662.0,55928.0,666.163000106812,0.189,9.0,,,
2015-06-16 09:14:00,,,,,0.6045986312132935,,,,
2015-06-16 09:15:00,7881.5,7881.5,57147.5,807.0634999275204,0.3825000000000001,9.0,,,
2015-06-16 09:16:00,,,,,0.6045986312132935,,,,
2015-06-16 09:17:00,8416.5,8416.5,57682.5,894.639999985695,0.1525,9.0,,,
2015-06-16 09:18:00,9317.0,9317.0,58585.0,998.880000114441,0.103,9.0,,,
2015-06-16 09:19:00,,,,,0.6045986312132935,,,,
2015-06-16 09:20:00,10438.5,10438.5,59706.5,1095.53600001335,0.14750000000000002,9.0,,,
2015-06-16 09:21:00,11145.5,11145.5,60413.5,1173.227500081065,0.132,9.0,,,
2015-06-16 09:22:00,,,,,0.6045986312132935,,,,
2015-06-16 09:23:00,,,,,0.6045986312132935,,,,
2015-06-16 09:24:00,,,,,0.6045986312132935,,,,
2015-06-16 09:25:00,13269.0,13269.0,62537.0,1371.41499996185,0.528,9.0,,,
2015-06-16 09:26:00,,,,,0.6045986312132935,,,,
2015-06-16 09:27:00,,,,,0.6045986312132935,,,,
2015-06-16 09:28:00,14739.0,14739.0,64007.0,1583.6494999527924,0.11,9.0,,,
2015-06-16 09:29:00,15236.0,15236.0,64504.0,1637.756999969485,0.14300000000000002,9.0,,,
2015-06-16 09:30:00,15709.0,15709.0,64977.0,1670.97799992561,0.223,9.0,,,
2015-06-16 09:31:00,16352.0,16352.0,65620.0,1761.0744999647102,0.053000000000000005,9.0,,,
2015-06-16 09:32:00,,,,,0.6045986312132935,,,,
2015-06-16 09:33:00,16874.0,16874.0,66142.0,1859.99699997902,0.115,9.0,,,
2015-06-16 09:34:00,17480.0,17480.0,66748.0,1936.0,0.16,9.0,,,
2015-06-16 09:35:00,18045.0,18045.0,67313.0,1991.8450000286105,0.146,9.0,,,
2015-06-16 09:36:00,18376.666666666668,18376.666666666668,67644.66666666669,2041.9129999478635,0.19100000000000006,9.0,,,
